# Experiment 6: Agent C Ablation — seed=1  started 2026-02-27T12:47:18.500521
# cmd: C:\Users\btisl\miniconda3\python.exe -u -m simulation.engine --seed 1 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\agent_c_ablation\seed_01 --ablate-agent-c

Epoch   0 | Survival: 0.40 | Target: 0.40 | Reward A: 48.086 | H: 1.080
Epoch   1 | Survival: 0.00 | Target: 0.00 | Reward A: 57.996 | H: 1.074
Epoch   2 | Survival: 0.20 | Target: 0.20 | Reward A: 62.923 | H: 1.079
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 53.975 | H: 1.067
Epoch   4 | Survival: 0.30 | Target: 0.30 | Reward A: 41.309 | H: 1.054
Epoch   5 | Survival: 0.20 | Target: 0.20 | Reward A: 60.793 | H: 1.046
Epoch   6 | Survival: 0.30 | Target: 0.30 | Reward A: 52.248 | H: 1.022
Epoch   7 | Survival: 0.30 | Target: 0.30 | Reward A: 22.859 | H: 1.009
Epoch   8 | Survival: 0.30 | Target: 0.30 | Reward A: 33.872 | H: 0.983
Epoch   9 | Survival: 0.50 | Target: 0.50 | Reward A: 46.887 | H: 0.974
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 47.777 | H: 0.961
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 72.260 | H: 0.945
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 50.573 | H: 0.941
Epoch  13 | Survival: 0.10 | Target: 0.10 | Reward A: 53.880 | H: 0.976
Epoch  14 | Survival: 0.30 | Target: 0.30 | Reward A: 53.951 | H: 0.943
Epoch  15 | Survival: 0.10 | Target: 0.10 | Reward A: 70.750 | H: 0.912
Epoch  16 | Survival: 0.10 | Target: 0.10 | Reward A: 41.312 | H: 0.968
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 31.556 | H: 0.955
Epoch  18 | Survival: 0.50 | Target: 0.50 | Reward A: 62.327 | H: 0.960
Epoch  19 | Survival: 0.20 | Target: 0.20 | Reward A: 59.340 | H: 0.951
Epoch  20 | Survival: 0.10 | Target: 0.10 | Reward A: 55.256 | H: 0.942
Epoch  21 | Survival: 0.30 | Target: 0.30 | Reward A: 69.268 | H: 0.944
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 62.710 | H: 0.956
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 40.376 | H: 0.940
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 54.744 | H: 0.926
Epoch  25 | Survival: 0.30 | Target: 0.30 | Reward A: 50.352 | H: 0.960
Epoch  26 | Survival: 0.10 | Target: 0.10 | Reward A: 70.576 | H: 0.904
Epoch  27 | Survival: 0.80 | Target: 0.80 | Reward A: 11.841 | H: 0.932
Epoch  28 | Survival: 0.00 | Target: 0.00 | Reward A: 45.554 | H: 0.907
Epoch  29 | Survival: 0.00 | Target: 0.00 | Reward A: 46.368 | H: 0.936
Epoch  30 | Survival: 0.30 | Target: 0.30 | Reward A: 71.374 | H: 0.909
Epoch  31 | Survival: 0.20 | Target: 0.20 | Reward A: 68.669 | H: 0.938
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 44.370 | H: 0.924
Epoch  33 | Survival: 0.00 | Target: 0.00 | Reward A: 35.599 | H: 0.922
Epoch  34 | Survival: 0.10 | Target: 0.10 | Reward A: 63.451 | H: 0.918
Epoch  35 | Survival: 0.20 | Target: 0.20 | Reward A: 34.371 | H: 0.927
Epoch  36 | Survival: 0.10 | Target: 0.10 | Reward A: 54.512 | H: 0.942
Epoch  37 | Survival: 0.00 | Target: 0.00 | Reward A: 59.674 | H: 0.893
Epoch  38 | Survival: 0.70 | Target: 0.70 | Reward A: 37.112 | H: 0.940
Epoch  39 | Survival: 0.20 | Target: 0.20 | Reward A: 50.751 | H: 0.919
Epoch  40 | Survival: 0.60 | Target: 0.60 | Reward A: 25.599 | H: 0.927
Epoch  41 | Survival: 0.60 | Target: 0.60 | Reward A: 54.199 | H: 0.960
Epoch  42 | Survival: 0.00 | Target: 0.00 | Reward A: 59.656 | H: 0.877
Epoch  43 | Survival: 0.70 | Target: 0.70 | Reward A: 56.891 | H: 0.922
Epoch  44 | Survival: 0.00 | Target: 0.00 | Reward A: 53.384 | H: 0.920
Epoch  45 | Survival: 0.30 | Target: 0.30 | Reward A: 52.846 | H: 0.929
Epoch  46 | Survival: 0.10 | Target: 0.10 | Reward A: 56.290 | H: 0.904
Epoch  47 | Survival: 0.20 | Target: 0.20 | Reward A: 42.035 | H: 0.900
Epoch  48 | Survival: 0.40 | Target: 0.40 | Reward A: 68.479 | H: 0.936
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 33.659 | H: 0.938
Epoch  50 | Survival: 0.10 | Target: 0.10 | Reward A: 46.229 | H: 0.944
Epoch  51 | Survival: 0.30 | Target: 0.30 | Reward A: 68.893 | H: 0.947
Epoch  52 | Survival: 0.10 | Target: 0.10 | Reward A: 58.978 | H: 0.958
Epoch  53 | Survival: 0.60 | Target: 0.60 | Reward A: 47.060 | H: 0.944
Epoch  54 | Survival: 0.00 | Target: 0.00 | Reward A: 55.161 | H: 0.949
Epoch  55 | Survival: 0.30 | Target: 0.30 | Reward A: 48.129 | H: 0.927
Epoch  56 | Survival: 0.30 | Target: 0.30 | Reward A: 60.316 | H: 0.920
Epoch  57 | Survival: 1.00 | Target: 1.00 | Reward A: 38.074 | H: 0.901
Epoch  58 | Survival: 0.10 | Target: 0.10 | Reward A: 41.403 | H: 0.933
Epoch  59 | Survival: 0.70 | Target: 0.70 | Reward A: 37.764 | H: 0.943
Epoch  60 | Survival: 0.80 | Target: 0.80 | Reward A: 32.230 | H: 0.935
Epoch  61 | Survival: 0.00 | Target: 0.00 | Reward A: 49.560 | H: 0.923
Epoch  62 | Survival: 1.00 | Target: 1.00 | Reward A: 27.687 | H: 0.987
Epoch  63 | Survival: 0.20 | Target: 0.20 | Reward A: 75.813 | H: 0.943
Epoch  64 | Survival: 0.10 | Target: 0.10 | Reward A: 57.258 | H: 0.964
Epoch  65 | Survival: 0.30 | Target: 0.30 | Reward A: 33.951 | H: 0.962
Epoch  66 | Survival: 0.10 | Target: 0.10 | Reward A: 71.097 | H: 0.967
Epoch  67 | Survival: 0.00 | Target: 0.00 | Reward A: 47.994 | H: 0.964
Epoch  68 | Survival: 0.20 | Target: 0.20 | Reward A: 69.080 | H: 0.960
Epoch  69 | Survival: 0.00 | Target: 0.00 | Reward A: 53.353 | H: 0.959
Epoch  70 | Survival: 0.50 | Target: 0.50 | Reward A: 58.682 | H: 0.969
Epoch  71 | Survival: 0.30 | Target: 0.30 | Reward A: 33.472 | H: 0.978
Epoch  72 | Survival: 0.40 | Target: 0.40 | Reward A: 52.135 | H: 0.960
Epoch  73 | Survival: 0.10 | Target: 0.10 | Reward A: 68.096 | H: 0.969
Epoch  74 | Survival: 0.00 | Target: 0.00 | Reward A: 55.111 | H: 0.950
Epoch  75 | Survival: 0.00 | Target: 0.00 | Reward A: 32.242 | H: 0.973
Epoch  76 | Survival: 0.40 | Target: 0.40 | Reward A: 60.174 | H: 0.953
Epoch  77 | Survival: 0.20 | Target: 0.20 | Reward A: 40.677 | H: 0.996
Epoch  78 | Survival: 0.10 | Target: 0.10 | Reward A: 72.765 | H: 0.976
Epoch  79 | Survival: 0.70 | Target: 0.70 | Reward A: 29.443 | H: 0.992
Epoch  80 | Survival: 0.30 | Target: 0.30 | Reward A: 34.706 | H: 0.972
Epoch  81 | Survival: 0.10 | Target: 0.10 | Reward A: 41.203 | H: 0.952
Epoch  82 | Survival: 0.40 | Target: 0.40 | Reward A: 66.135 | H: 0.968
Epoch  83 | Survival: 0.50 | Target: 0.50 | Reward A: 63.887 | H: 0.970
Epoch  84 | Survival: 0.00 | Target: 0.00 | Reward A: 65.744 | H: 0.960
Epoch  85 | Survival: 0.00 | Target: 0.00 | Reward A: 27.058 | H: 0.976
Epoch  86 | Survival: 0.00 | Target: 0.00 | Reward A: 55.525 | H: 0.985
Epoch  87 | Survival: 0.40 | Target: 0.40 | Reward A: 30.016 | H: 0.950
Epoch  88 | Survival: 0.70 | Target: 0.70 | Reward A: 61.537 | H: 0.980
Epoch  89 | Survival: 0.10 | Target: 0.10 | Reward A: 49.888 | H: 0.971
Epoch  90 | Survival: 0.30 | Target: 0.30 | Reward A: 78.716 | H: 0.996
Epoch  91 | Survival: 0.20 | Target: 0.20 | Reward A: 46.315 | H: 0.983
Epoch  92 | Survival: 0.00 | Target: 0.00 | Reward A: 53.792 | H: 0.974
Epoch  93 | Survival: 0.30 | Target: 0.30 | Reward A: 60.243 | H: 0.955
Epoch  94 | Survival: 0.00 | Target: 0.00 | Reward A: 39.348 | H: 0.989
Epoch  95 | Survival: 0.30 | Target: 0.30 | Reward A: 48.369 | H: 0.996
Epoch  96 | Survival: 0.60 | Target: 0.60 | Reward A: 49.816 | H: 1.010
Epoch  97 | Survival: 0.40 | Target: 0.40 | Reward A: 53.428 | H: 1.004
Epoch  98 | Survival: 0.10 | Target: 0.10 | Reward A: 58.274 | H: 1.014
Epoch  99 | Survival: 0.20 | Target: 0.20 | Reward A: 61.194 | H: 0.994
Epoch 100 | Survival: 0.20 | Target: 0.20 | Reward A: 59.268 | H: 0.984
Epoch 101 | Survival: 0.00 | Target: 0.00 | Reward A: 14.740 | H: 0.997
Epoch 102 | Survival: 0.40 | Target: 0.40 | Reward A: 65.777 | H: 1.012
Epoch 103 | Survival: 0.70 | Target: 0.70 | Reward A: 24.941 | H: 1.024
Epoch 104 | Survival: 0.10 | Target: 0.10 | Reward A: 43.101 | H: 1.005
Epoch 105 | Survival: 0.70 | Target: 0.70 | Reward A: 28.275 | H: 1.029
Epoch 106 | Survival: 0.40 | Target: 0.40 | Reward A: 45.473 | H: 1.020
Epoch 107 | Survival: 0.60 | Target: 0.60 | Reward A: 22.159 | H: 0.989
Epoch 108 | Survival: 0.10 | Target: 0.10 | Reward A: 54.343 | H: 1.005
Epoch 109 | Survival: 0.00 | Target: 0.00 | Reward A: 39.240 | H: 0.992
Epoch 110 | Survival: 0.10 | Target: 0.10 | Reward A: 71.968 | H: 1.005
Epoch 111 | Survival: 0.00 | Target: 0.00 | Reward A: 59.206 | H: 1.026
Epoch 112 | Survival: 0.40 | Target: 0.40 | Reward A: 39.423 | H: 1.019
Epoch 113 | Survival: 0.10 | Target: 0.10 | Reward A: 62.605 | H: 1.008
Epoch 114 | Survival: 0.00 | Target: 0.00 | Reward A: 17.749 | H: 1.022
Epoch 115 | Survival: 0.20 | Target: 0.20 | Reward A: 69.434 | H: 1.009
Epoch 116 | Survival: 0.10 | Target: 0.10 | Reward A: 48.603 | H: 1.019
Epoch 117 | Survival: 0.10 | Target: 0.10 | Reward A: 39.683 | H: 1.014
Epoch 118 | Survival: 0.30 | Target: 0.30 | Reward A: 43.979 | H: 1.009
Epoch 119 | Survival: 0.00 | Target: 0.00 | Reward A: 36.899 | H: 1.025
Epoch 120 | Survival: 0.50 | Target: 0.50 | Reward A: 68.083 | H: 1.022
Epoch 121 | Survival: 0.30 | Target: 0.30 | Reward A: 53.998 | H: 1.011
Epoch 122 | Survival: 0.80 | Target: 0.80 | Reward A: 30.161 | H: 1.026
Epoch 123 | Survival: 0.00 | Target: 0.00 | Reward A: 67.095 | H: 1.009
Epoch 124 | Survival: 0.30 | Target: 0.30 | Reward A: 47.614 | H: 0.998
Epoch 125 | Survival: 0.10 | Target: 0.10 | Reward A: 62.193 | H: 0.993
Epoch 126 | Survival: 0.70 | Target: 0.70 | Reward A: 46.955 | H: 0.999
Epoch 127 | Survival: 0.00 | Target: 0.00 | Reward A: 35.197 | H: 1.023
Epoch 128 | Survival: 0.50 | Target: 0.50 | Reward A: 61.540 | H: 1.003
Epoch 129 | Survival: 0.00 | Target: 0.00 | Reward A: 59.400 | H: 0.992
Epoch 130 | Survival: 0.00 | Target: 0.00 | Reward A: 33.010 | H: 0.965
Epoch 131 | Survival: 0.90 | Target: 0.90 | Reward A: 33.756 | H: 0.999
Epoch 132 | Survival: 0.20 | Target: 0.20 | Reward A: 56.858 | H: 1.004
Epoch 133 | Survival: 0.50 | Target: 0.50 | Reward A: 63.163 | H: 0.993
Epoch 134 | Survival: 0.00 | Target: 0.00 | Reward A: 53.293 | H: 0.991
Epoch 135 | Survival: 0.40 | Target: 0.40 | Reward A: 54.393 | H: 1.003
Epoch 136 | Survival: 0.70 | Target: 0.70 | Reward A: 35.773 | H: 0.999
Epoch 137 | Survival: 0.00 | Target: 0.00 | Reward A: 50.243 | H: 0.975
Epoch 138 | Survival: 0.20 | Target: 0.20 | Reward A: 75.569 | H: 1.009
Epoch 139 | Survival: 0.50 | Target: 0.50 | Reward A: 41.378 | H: 1.006
Epoch 140 | Survival: 0.20 | Target: 0.20 | Reward A: 58.590 | H: 0.975
Epoch 141 | Survival: 0.40 | Target: 0.40 | Reward A: 53.145 | H: 0.991
Epoch 142 | Survival: 0.40 | Target: 0.40 | Reward A: 50.951 | H: 0.983
Epoch 143 | Survival: 0.40 | Target: 0.40 | Reward A: 64.553 | H: 1.016
