# baseline seed=9 started 2026-02-24T07:05:44.849302
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 9 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\baseline\seed_09

Epoch   0 | Survival: 0.00 | Target: 0.00 | Reward A: 36.116 | H: 1.078
Epoch   1 | Survival: 0.60 | Target: 0.60 | Reward A: 38.648 | H: 1.093
Epoch   2 | Survival: 0.10 | Target: 0.10 | Reward A: 41.389 | H: 1.097
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 65.494 | H: 1.093
Epoch   4 | Survival: 0.00 | Target: 0.00 | Reward A: 47.095 | H: 1.094
Epoch   5 | Survival: 0.10 | Target: 0.10 | Reward A: 48.579 | H: 1.082
Epoch   6 | Survival: 0.00 | Target: 0.00 | Reward A: 63.947 | H: 1.083
Epoch   7 | Survival: 0.30 | Target: 0.30 | Reward A: 55.999 | H: 1.088
Epoch   8 | Survival: 0.30 | Target: 0.30 | Reward A: 24.134 | H: 1.079
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 26.276 | H: 1.079
Epoch  10 | Survival: 0.10 | Target: 0.10 | Reward A: 63.184 | H: 1.065
Epoch  11 | Survival: 0.20 | Target: 0.20 | Reward A: 55.935 | H: 1.068
Epoch  12 | Survival: 0.10 | Target: 0.10 | Reward A: 42.872 | H: 1.060
Epoch  13 | Survival: 0.30 | Target: 0.30 | Reward A: 61.576 | H: 1.076
Epoch  14 | Survival: 0.00 | Target: 0.00 | Reward A: 65.689 | H: 1.064
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 41.173 | H: 1.050
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 46.455 | H: 1.066
Epoch  17 | Survival: 0.50 | Target: 0.50 | Reward A: 34.221 | H: 1.061
Epoch  18 | Survival: 0.30 | Target: 0.30 | Reward A: 53.355 | H: 1.057
Epoch  19 | Survival: 1.00 | Target: 1.00 | Reward A: 4.329 | H: 1.067
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 27.819 | H: 1.057
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 63.809 | H: 1.054
Epoch  22 | Survival: 0.40 | Target: 0.40 | Reward A: 34.160 | H: 1.060
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 73.120 | H: 1.060
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 71.287 | H: 1.058
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 43.117 | H: 1.053
Epoch  26 | Survival: 0.10 | Target: 0.10 | Reward A: 43.340 | H: 1.069
Epoch  27 | Survival: 0.20 | Target: 0.20 | Reward A: 72.718 | H: 1.053
Epoch  28 | Survival: 0.20 | Target: 0.20 | Reward A: 41.868 | H: 1.062
Epoch  29 | Survival: 0.20 | Target: 0.20 | Reward A: 59.915 | H: 1.071
Epoch  30 | Survival: 0.70 | Target: 0.70 | Reward A: 32.731 | H: 1.052
Epoch  31 | Survival: 0.20 | Target: 0.20 | Reward A: 68.577 | H: 1.072
Epoch  32 | Survival: 0.90 | Target: 0.90 | Reward A: 33.551 | H: 1.075
Epoch  33 | Survival: 0.50 | Target: 0.50 | Reward A: 36.622 | H: 1.082
Epoch  34 | Survival: 0.70 | Target: 0.70 | Reward A: 48.561 | H: 1.073
Epoch  35 | Survival: 0.70 | Target: 0.70 | Reward A: 36.223 | H: 1.082
Epoch  36 | Survival: 0.30 | Target: 0.30 | Reward A: 62.128 | H: 1.082
Epoch  37 | Survival: 0.50 | Target: 0.50 | Reward A: 44.046 | H: 1.077
Epoch  38 | Survival: 0.20 | Target: 0.20 | Reward A: 62.274 | H: 1.067
Epoch  39 | Survival: 0.20 | Target: 0.20 | Reward A: 41.784 | H: 1.084
Epoch  40 | Survival: 0.40 | Target: 0.40 | Reward A: 50.320 | H: 1.075
Epoch  41 | Survival: 0.00 | Target: 0.00 | Reward A: 30.228 | H: 1.078
Epoch  42 | Survival: 0.60 | Target: 0.60 | Reward A: 56.904 | H: 1.068
Epoch  43 | Survival: 0.40 | Target: 0.40 | Reward A: 50.192 | H: 1.061
Epoch  44 | Survival: 0.00 | Target: 0.00 | Reward A: 62.649 | H: 1.076
Epoch  45 | Survival: 0.70 | Target: 0.70 | Reward A: 35.427 | H: 1.080
Epoch  46 | Survival: 0.00 | Target: 0.00 | Reward A: 51.078 | H: 1.078
Epoch  47 | Survival: 0.20 | Target: 0.20 | Reward A: 39.564 | H: 1.057
Epoch  48 | Survival: 0.40 | Target: 0.40 | Reward A: 42.562 | H: 1.058
Epoch  49 | Survival: 0.80 | Target: 0.80 | Reward A: 30.978 | H: 1.082
Epoch  50 | Survival: 0.10 | Target: 0.10 | Reward A: 33.412 | H: 1.066
