# control seed=11 started 2026-02-25T19:27:41.063081
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 11 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_11

Epoch   0 | Survival: 0.00 | Target: 0.00 | Reward A: 54.884
Epoch   1 | Survival: 0.00 | Target: 0.00 | Reward A: 63.770
Epoch   2 | Survival: 1.00 | Target: 1.00 | Reward A: 46.190
Epoch   3 | Survival: 0.40 | Target: 0.40 | Reward A: 60.450
Epoch   4 | Survival: 0.10 | Target: 0.10 | Reward A: 56.919
Epoch   5 | Survival: 0.50 | Target: 0.50 | Reward A: 48.899
Epoch   6 | Survival: 0.70 | Target: 0.70 | Reward A: 43.227
Epoch   7 | Survival: 0.10 | Target: 0.10 | Reward A: 56.423
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 42.775
Epoch   9 | Survival: 0.00 | Target: 0.00 | Reward A: 51.901
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 68.065
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 53.082
Epoch  12 | Survival: 0.30 | Target: 0.30 | Reward A: 46.691
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 24.956
Epoch  14 | Survival: 0.00 | Target: 0.00 | Reward A: 47.013
Epoch  15 | Survival: 0.20 | Target: 0.20 | Reward A: 50.895
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 64.502
Epoch  17 | Survival: 0.80 | Target: 0.80 | Reward A: 7.125
Epoch  18 | Survival: 0.70 | Target: 0.70 | Reward A: 50.296
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 31.390
Epoch  20 | Survival: 0.50 | Target: 0.50 | Reward A: 64.113
Epoch  21 | Survival: 0.10 | Target: 0.10 | Reward A: 55.308
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 34.998
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 29.714
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 61.020
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 23.617
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 59.867
Epoch  27 | Survival: 0.10 | Target: 0.10 | Reward A: 34.443
Epoch  28 | Survival: 0.50 | Target: 0.50 | Reward A: 38.795
Epoch  29 | Survival: 0.10 | Target: 0.10 | Reward A: 43.399
Epoch  30 | Survival: 0.30 | Target: 0.30 | Reward A: 19.191
Epoch  31 | Survival: 0.20 | Target: 0.20 | Reward A: 52.578
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 29.372
Epoch  33 | Survival: 0.00 | Target: 0.00 | Reward A: 61.231
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 39.146
Epoch  35 | Survival: 0.40 | Target: 0.40 | Reward A: 31.086
Epoch  36 | Survival: 0.00 | Target: 0.00 | Reward A: 37.621
Epoch  37 | Survival: 0.00 | Target: 0.00 | Reward A: 31.817
