# extreme seed=10 started 2026-02-25T10:12:27.667122
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 10 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 5.0 --respond-cost 0.3 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\extreme\seed_10

Epoch   0 | Survival: 0.60 | Target: 0.60 | Reward A: 31.641 | H: 1.092
Epoch   1 | Survival: 0.30 | Target: 0.30 | Reward A: 68.927 | H: 1.071
Epoch   2 | Survival: 0.00 | Target: 0.00 | Reward A: 63.669 | H: 1.068
Epoch   3 | Survival: 0.60 | Target: 0.60 | Reward A: 54.839 | H: 1.059
Epoch   4 | Survival: 0.70 | Target: 0.70 | Reward A: 43.349 | H: 1.085
Epoch   5 | Survival: 0.30 | Target: 0.30 | Reward A: 47.492 | H: 1.049
Epoch   6 | Survival: 0.20 | Target: 0.20 | Reward A: 62.281 | H: 1.032
Epoch   7 | Survival: 0.20 | Target: 0.20 | Reward A: 48.167 | H: 1.069
Epoch   8 | Survival: 0.00 | Target: 0.00 | Reward A: 34.467 | H: 1.009
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 50.611 | H: 0.979
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 51.965 | H: 1.012
Epoch  11 | Survival: 0.10 | Target: 0.10 | Reward A: 50.936 | H: 1.051
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 51.440 | H: 1.033
Epoch  13 | Survival: 0.10 | Target: 0.10 | Reward A: 49.034 | H: 1.010
Epoch  14 | Survival: 0.10 | Target: 0.10 | Reward A: 34.242 | H: 0.986
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 47.195 | H: 1.011
Epoch  16 | Survival: 0.30 | Target: 0.30 | Reward A: 44.151 | H: 1.025
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 69.253 | H: 1.005
Epoch  18 | Survival: 0.70 | Target: 0.70 | Reward A: 11.880 | H: 0.984
Epoch  19 | Survival: 0.50 | Target: 0.50 | Reward A: 61.221 | H: 0.945
Epoch  20 | Survival: 0.20 | Target: 0.20 | Reward A: 30.036 | H: 0.929
Epoch  21 | Survival: 0.20 | Target: 0.20 | Reward A: 64.233 | H: 0.945
Epoch  22 | Survival: 0.20 | Target: 0.20 | Reward A: 63.414 | H: 0.939
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 36.991 | H: 0.950
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 37.559 | H: 0.916
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 57.099 | H: 0.942
Epoch  26 | Survival: 0.10 | Target: 0.10 | Reward A: 39.098 | H: 0.974
Epoch  27 | Survival: 0.00 | Target: 0.00 | Reward A: 57.951 | H: 0.971
Epoch  28 | Survival: 0.00 | Target: 0.00 | Reward A: 54.228 | H: 0.933
Epoch  29 | Survival: 0.50 | Target: 0.50 | Reward A: 49.602 | H: 1.011
Epoch  30 | Survival: 0.10 | Target: 0.10 | Reward A: 62.742 | H: 0.944
Epoch  31 | Survival: 0.30 | Target: 0.30 | Reward A: 32.567 | H: 0.936
