# high_pressure seed=12 started 2026-02-25T02:03:03.013109
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 12 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 3.0 --respond-cost 0.5 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\high_pressure\seed_12

Epoch   0 | Survival: 0.30 | Target: 0.30 | Reward A: 57.076 | H: 1.094
Epoch   1 | Survival: 0.80 | Target: 0.80 | Reward A: 43.913 | H: 1.079
Epoch   2 | Survival: 0.20 | Target: 0.20 | Reward A: 71.572 | H: 1.088
Epoch   3 | Survival: 0.10 | Target: 0.10 | Reward A: 58.874 | H: 1.081
Epoch   4 | Survival: 0.30 | Target: 0.30 | Reward A: 64.659 | H: 1.063
Epoch   5 | Survival: 0.40 | Target: 0.40 | Reward A: 46.251 | H: 1.079
Epoch   6 | Survival: 0.10 | Target: 0.10 | Reward A: 45.959 | H: 1.067
Epoch   7 | Survival: 0.10 | Target: 0.10 | Reward A: 42.721 | H: 1.067
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 72.335 | H: 1.067
Epoch   9 | Survival: 0.20 | Target: 0.20 | Reward A: 59.979 | H: 1.076
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 71.594 | H: 1.069
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 52.830 | H: 1.070
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 27.590 | H: 1.075
Epoch  13 | Survival: 0.30 | Target: 0.30 | Reward A: 45.818 | H: 1.051
Epoch  14 | Survival: 0.10 | Target: 0.10 | Reward A: 53.180 | H: 1.054
Epoch  15 | Survival: 0.20 | Target: 0.20 | Reward A: 67.606 | H: 1.057
Epoch  16 | Survival: 0.70 | Target: 0.70 | Reward A: 12.906 | H: 1.055
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 62.702 | H: 1.036
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 44.215 | H: 1.045
Epoch  19 | Survival: 0.10 | Target: 0.10 | Reward A: 76.418 | H: 1.038
Epoch  20 | Survival: 0.20 | Target: 0.20 | Reward A: 57.411 | H: 1.010
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 34.922 | H: 1.048
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 38.932 | H: 1.011
Epoch  23 | Survival: 0.20 | Target: 0.20 | Reward A: 63.856 | H: 1.022
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 35.976 | H: 0.997
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 57.426 | H: 1.015
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 61.673 | H: 1.002
Epoch  27 | Survival: 0.50 | Target: 0.50 | Reward A: 43.620 | H: 1.006
Epoch  28 | Survival: 0.50 | Target: 0.50 | Reward A: 51.195 | H: 1.008
Epoch  29 | Survival: 0.40 | Target: 0.40 | Reward A: 26.848 | H: 0.996
Epoch  30 | Survival: 0.20 | Target: 0.20 | Reward A: 61.382 | H: 0.992
Epoch  31 | Survival: 0.10 | Target: 0.10 | Reward A: 66.077 | H: 1.023
Epoch  32 | Survival: 0.70 | Target: 0.70 | Reward A: 53.220 | H: 1.010
Epoch  33 | Survival: 0.10 | Target: 0.10 | Reward A: 61.617 | H: 1.018
Epoch  34 | Survival: 0.50 | Target: 0.50 | Reward A: 48.614 | H: 1.019
Epoch  35 | Survival: 0.10 | Target: 0.10 | Reward A: 50.085 | H: 1.032
