# low_pressure seed=2 started 2026-02-24T15:45:51.648297
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 2 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.2 --respond-cost 0.9 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\low_pressure\seed_02

Epoch   0 | Survival: 0.40 | Target: 0.40 | Reward A: 63.591 | H: 1.091
Epoch   1 | Survival: 0.00 | Target: 0.00 | Reward A: 55.858 | H: 1.088
Epoch   2 | Survival: 0.10 | Target: 0.10 | Reward A: 54.407 | H: 1.091
Epoch   3 | Survival: 0.70 | Target: 0.70 | Reward A: 35.547 | H: 1.085
Epoch   4 | Survival: 0.10 | Target: 0.10 | Reward A: 61.568 | H: 1.087
Epoch   5 | Survival: 0.20 | Target: 0.20 | Reward A: 31.514 | H: 1.084
Epoch   6 | Survival: 0.10 | Target: 0.10 | Reward A: 46.268 | H: 1.087
Epoch   7 | Survival: 0.00 | Target: 0.00 | Reward A: 55.386 | H: 1.090
Epoch   8 | Survival: 0.70 | Target: 0.70 | Reward A: 36.466 | H: 1.095
Epoch   9 | Survival: 0.00 | Target: 0.00 | Reward A: 42.096 | H: 1.091
Epoch  10 | Survival: 0.50 | Target: 0.50 | Reward A: 60.429 | H: 1.098
Epoch  11 | Survival: 0.10 | Target: 0.10 | Reward A: 46.818 | H: 1.094
Epoch  12 | Survival: 0.40 | Target: 0.40 | Reward A: 47.636 | H: 1.093
Epoch  13 | Survival: 0.50 | Target: 0.50 | Reward A: 51.991 | H: 1.092
Epoch  14 | Survival: 0.10 | Target: 0.10 | Reward A: 63.574 | H: 1.085
Epoch  15 | Survival: 0.20 | Target: 0.20 | Reward A: 38.140 | H: 1.098
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 30.599 | H: 1.093
Epoch  17 | Survival: 0.20 | Target: 0.20 | Reward A: 42.616 | H: 1.087
Epoch  18 | Survival: 0.60 | Target: 0.60 | Reward A: 50.016 | H: 1.096
Epoch  19 | Survival: 0.10 | Target: 0.10 | Reward A: 62.021 | H: 1.094
Epoch  20 | Survival: 0.10 | Target: 0.10 | Reward A: 73.265 | H: 1.093
Epoch  21 | Survival: 0.60 | Target: 0.60 | Reward A: 26.788 | H: 1.068
Epoch  22 | Survival: 0.20 | Target: 0.20 | Reward A: 50.548 | H: 1.085
Epoch  23 | Survival: 0.10 | Target: 0.10 | Reward A: 66.067 | H: 1.093
Epoch  24 | Survival: 0.30 | Target: 0.30 | Reward A: 56.821 | H: 1.077
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 64.000 | H: 1.073
Epoch  26 | Survival: 0.90 | Target: 0.90 | Reward A: 17.553 | H: 1.091
Epoch  27 | Survival: 0.00 | Target: 0.00 | Reward A: 41.095 | H: 1.073
Epoch  28 | Survival: 0.20 | Target: 0.20 | Reward A: 45.068 | H: 1.081
Epoch  29 | Survival: 0.20 | Target: 0.20 | Reward A: 67.939 | H: 1.078
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 61.794 | H: 1.086
Epoch  31 | Survival: 0.00 | Target: 0.00 | Reward A: 49.013 | H: 1.081
Epoch  32 | Survival: 0.20 | Target: 0.20 | Reward A: 34.515 | H: 1.075
Epoch  33 | Survival: 0.10 | Target: 0.10 | Reward A: 73.379 | H: 1.085
Epoch  34 | Survival: 0.20 | Target: 0.20 | Reward A: 39.364 | H: 1.076
Epoch  35 | Survival: 0.10 | Target: 0.10 | Reward A: 47.635 | H: 1.058
Epoch  36 | Survival: 0.00 | Target: 0.00 | Reward A: 67.259 | H: 1.068
Epoch  37 | Survival: 0.40 | Target: 0.40 | Reward A: 43.035 | H: 1.060
Epoch  38 | Survival: 0.10 | Target: 0.10 | Reward A: 60.657 | H: 1.054
Epoch  39 | Survival: 0.80 | Target: 0.80 | Reward A: 24.425 | H: 1.052
Epoch  40 | Survival: 0.90 | Target: 0.90 | Reward A: 52.399 | H: 1.048
Epoch  41 | Survival: 0.80 | Target: 0.80 | Reward A: 35.815 | H: 1.050
Epoch  42 | Survival: 0.90 | Target: 0.90 | Reward A: 54.815 | H: 1.070
Epoch  43 | Survival: 0.10 | Target: 0.10 | Reward A: 47.372 | H: 1.053
Epoch  44 | Survival: 0.20 | Target: 0.20 | Reward A: 54.244 | H: 1.045
Epoch  45 | Survival: 0.00 | Target: 0.00 | Reward A: 60.728 | H: 1.042
Epoch  46 | Survival: 0.00 | Target: 0.00 | Reward A: 61.133 | H: 1.030
Epoch  47 | Survival: 0.10 | Target: 0.10 | Reward A: 71.531 | H: 1.036
Epoch  48 | Survival: 0.10 | Target: 0.10 | Reward A: 21.949 | H: 1.040
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 44.872 | H: 1.052
Epoch  50 | Survival: 0.00 | Target: 0.00 | Reward A: 68.828 | H: 1.021
Epoch  51 | Survival: 0.10 | Target: 0.10 | Reward A: 75.168 | H: 1.039
Epoch  52 | Survival: 0.30 | Target: 0.30 | Reward A: 44.166 | H: 1.035
Epoch  53 | Survival: 0.10 | Target: 0.10 | Reward A: 43.697 | H: 1.020
Epoch  54 | Survival: 0.40 | Target: 0.40 | Reward A: 49.811 | H: 1.025
Epoch  55 | Survival: 0.60 | Target: 0.60 | Reward A: 41.779 | H: 1.032
Epoch  56 | Survival: 0.90 | Target: 0.90 | Reward A: 32.898 | H: 1.041
Epoch  57 | Survival: 0.00 | Target: 0.00 | Reward A: 36.950 | H: 1.028
Epoch  58 | Survival: 0.60 | Target: 0.60 | Reward A: 36.109 | H: 1.014
Epoch  59 | Survival: 0.40 | Target: 0.40 | Reward A: 69.753 | H: 0.995
Epoch  60 | Survival: 0.10 | Target: 0.10 | Reward A: 37.676 | H: 1.022
Epoch  61 | Survival: 0.50 | Target: 0.50 | Reward A: 46.445 | H: 1.025
Epoch  62 | Survival: 0.30 | Target: 0.30 | Reward A: 61.918 | H: 1.023
Epoch  63 | Survival: 0.10 | Target: 0.10 | Reward A: 47.089 | H: 1.030
